Keyword,EndRank,EndClicks,SearchVolume,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,description,TF-IDF_score
death penalty nz,48,0,0.0,,,,,42.0,,46.0,44.0,,,40.0,,,,,,,48.0,,,55.0,,51.0,45.0,,49.0,,48.0,46.0,,57.0,,57.0,58.0,,64.0,,90.0,,52.0,,22.0,,,,48.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016595802221493993
portage road auckland,29,0,0.0,,,,31.0,,,,,,,,,,,,,,,,,,,20.0,,20.0,,,,,,,,,,,,,,,,,,,,29.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016387873238945072
te whare tapa whā model,32,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,35.0,34.0,,34.0,,47.0,,46.0,,35.0,,32.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016935101149486138
new plymouth police,7,0,0.0,,,,,15.0,,13.0,,14.0,,17.0,,,4.0,,11.0,,4.0,6.0,,3.0,9.0,,7.0,5.0,,7.0,,7.0,4.0,,9.0,6.0,,9.0,7.0,,7.0,,,7.0,,8.0,,7.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017924971386757706
tatou tatou,35,0,0.0,,,,,,,,,,,,,,46.0,,55.0,,50.0,48.0,,49.0,,43.0,44.0,,50.0,,53.0,51.0,,64.0,55.0,,76.0,61.0,,57.0,,77.0,,48.0,,,,35.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0011516548585310646
bnz international transfer,80,0,0.0,,,,,78.0,,57.0,,,,,,,,,,,,,,42.0,85.0,,65.0,87.0,,71.0,,,,,,84.0,,,,,,,,,,,,80.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016849967820843127
pukekohe to auckland,84,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017816849197630285
how to deposit cash in atm anz,46,0,0.0,,,,,,,,,25.0,,,,,,,,28.0,,,,40.0,,,,,,,,,,,,,,,,,,,39.0,,,,46.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.00177884094362132
solutions architect salary nz,46,0,0.0,,,,,,,,,34.0,,,,,37.0,,,,27.0,34.0,,,,,,36.0,,,,,,,,,,,,,38.0,,,,,,46.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016233567262422571
nz eoi,77,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017048606195091195
penpal nz,54,0,0.0,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016283306147943032
off and on christchurch,36,0,0.0,,,,,,,,,86.0,,,,,,,,,,,,49.0,,,95.0,51.0,,46.0,,50.0,53.0,,32.0,33.0,,39.0,38.0,,46.0,,,,,37.0,,36.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016781200871617524
03 area code nz,48,0,0.0,,40.0,,,38.0,,55.0,38.0,,,58.0,,,65.0,,51.0,52.0,,51.0,,45.0,38.0,,27.0,36.0,,36.0,44.0,,41.0,35.0,,41.0,,51.0,43.0,,66.0,,39.0,,52.0,,48.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017059250717126558
westpac rolleston,15,0,0.0,,,,,19.0,,21.0,,30.0,,63.0,,,16.0,,24.0,,24.0,24.0,,22.0,15.0,,17.0,11.0,,13.0,,11.0,26.0,,29.0,26.0,,39.0,31.0,,25.0,,,20.0,,20.0,,15.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017714294170754468
hobbies nz,35,0,0.0,,,64.0,,,,,,,,,,,,,,,,,,,,,28.0,,34.0,,35.0,54.0,,41.0,45.0,,71.0,71.0,,55.0,,,,65.0,,41.0,,35.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016614364732829314
treaty of waitangi pdf,89,0,0.0,,,,,,,88.0,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016333084167375958
napa whangarei,31,0,0.0,,,,,,,,,,,,,,,55.0,,26.0,51.0,,41.0,,,19.0,,,19.0,,20.0,35.0,,36.0,22.0,,29.0,24.0,,31.0,,27.0,,33.0,,33.0,,31.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016107020961569304
henderson community home,95,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016975943578661423
dept of labour nz,39,0,0.0,,,,,,,,,,,,,,32.0,34.0,,30.0,,30.0,26.0,,,,38.0,,,,45.0,46.0,,54.0,49.0,,48.0,66.0,,48.0,,48.0,,50.0,,47.0,,39.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016755128083033681
money transfer from nz,69,0,0.0,,,,,,,,,,,,,,72.0,,84.0,,,,,,,,,63.0,,,,,,,52.0,,,,,,,,,,,,72.0,,69.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018816882691319696
nz stories,39,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,40.0,,39.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016614364732829314
nz domestic violence,41,0,0.0,,,,,,,,,,,,,,,,,,75.0,,71.0,,81.0,77.0,,70.0,58.0,,59.0,73.0,,65.0,52.0,,57.0,65.0,,56.0,,41.0,,42.0,,54.0,,41.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017270412628534503
laundry chch,94,0,0.0,,,,,83.0,,63.0,,73.0,,83.0,,,,77.0,,50.0,47.0,,66.0,70.0,,54.0,72.0,,23.0,,23.0,49.0,,40.0,29.0,,45.0,50.0,,58.0,,69.0,,68.0,,84.0,,94.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016350969131575467
09 886 area code nz,14,0,0.0,,,,,,,,,,37.0,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016801200988648373
into nz,56,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,56.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016614364732829314
new zealand nurse hiring,30,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,42.0,,,,,,,,,,30.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017407063865840897
volunteer whangarei,99,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017450310756778698
new zealand asian population,84,0,0.0,,,,,,,,,,,,,,,,,,,82.0,,74.0,,59.0,59.0,,,61.0,,57.0,,58.0,,,,74.0,69.0,,91.0,,88.0,,81.0,,,84.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016702118300525816
select committee nz,12,0,0.0,,,,,,,,,,,,,,,,19.0,,18.0,11.0,,17.0,16.0,,16.0,15.0,,15.0,,13.0,8.0,,9.0,6.0,,10.0,14.0,,14.0,,,10.0,,12.0,,12.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016984490226924205
nrt nz,79,0,0.0,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,69.0,,80.0,,88.0,,70.0,,,79.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016283306147943032
psychology in nz,52,0,0.0,,,,,,,,,,,,,,,84.0,,79.0,56.0,,53.0,75.0,,,,59.0,90.0,,,91.0,,80.0,90.0,,97.0,,,98.0,,92.0,,,,69.0,,52.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0019231862782402107
codeblue christchurch,60,0,0.0,,,,,,,,,,,,,65.0,,49.0,,55.0,61.0,,,,,59.0,,,,,,,,,,,,,,,,66.0,,71.0,,51.0,,60.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016225939438200305
right track programme,68,0,0.0,,,23.0,,75.0,,61.0,,,,,,61.0,,,,,,,48.0,,,,,,,,42.0,,,89.0,,87.0,86.0,,78.0,,56.0,,50.0,,37.0,,68.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0015583237974333012
alcoholics anonymous meetings christchurch,85,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,76.0,,97.0,,,,,,,,,,85.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001644461424495838
https www,30,0,0.0,,,,,22.0,17.0,,,,,,,,,19.0,,22.0,,,17.0,,,35.0,,,,,,,,32.0,,,,,,,,,,,40.0,,30.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0015245342911455822
population of christchurch 2023,63,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,54.0,,45.0,,43.0,,63.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017802038143825318
single status certificate nz,90,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001606181390037425
dfs auckland,62,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,72.0,,62.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016288965265688186
plumbers tokoroa,68,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0015564289513843705
psychiatrists nz,77,0,0.0,,,,,74.0,,60.0,,66.0,,46.0,,,71.0,,74.0,,75.0,65.0,,51.0,52.0,,57.0,78.0,,55.0,,64.0,67.0,,68.0,60.0,,71.0,87.0,,,,,,,,77.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016856592640680785
what self defence weapons are legal in nz,34,0,0.0,,,,,,,,,,36.0,,37.0,,,37.0,,40.0,41.0,,36.0,44.0,,50.0,54.0,,46.0,,51.0,52.0,,55.0,,46.0,57.0,,59.0,,49.0,,,,44.0,,39.0,,34.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018103745783826421
volunteer wellington,74,0,0.0,,,,,81.0,73.0,,67.0,,,47.0,,,53.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,74.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018126883949616747
pay gap nz,98,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,98.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016221411075090766
westpac nz address,85,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001820397218816666
registered nurse work from home,39,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,39.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018033374597182603
hiring work,39,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017345956442586824
auckland to papamoa,42,0,0.0,,53.0,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,45.0,,36.0,,42.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017190836338454502
findsomeone search,87,0,0.0,,,,,,,,,,,,,,,,37.0,,,,,,,,,44.0,,,34.0,,32.0,,,28.0,,,37.0,,,,,,23.0,,87.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016382986957170487
karaka postcode,61,0,0.0,,46.0,,,45.0,,41.0,,,,,40.0,,,41.0,,41.0,42.0,,36.0,32.0,,53.0,57.0,,,,,57.0,,,,53.0,,,55.0,,47.0,,,,,,,,61.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016071665281027535
kawerau i site,87,0,0.0,,,28.0,,37.0,,43.0,,,40.0,,,,,77.0,,83.0,68.0,,87.0,,,,,,,,74.0,69.0,,,,,71.0,,,,,,,,,,,,87.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001580965968296123
nz post help,86,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001741907402567165
borderline personality disorder nz,64,0,0.0,,49.0,,,59.0,,58.0,,,,54.0,,,,65.0,80.0,,51.0,,63.0,46.0,,52.0,63.0,,54.0,,48.0,49.0,,62.0,62.0,,91.0,80.0,,,,,,69.0,,62.0,,64.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0015692788365175838
northland roads,56,0,0.0,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,47.0,,48.0,,36.0,,56.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001575117514181251
i sites auckland,45,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,93.0,58.0,,51.0,55.0,,,,,,86.0,,,,,,45.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016594533062507346
send money remittance,72,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016171200668314652
022 number nz,43,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017146009158043182
te kupenga,49,0,0.0,,,,,,,,95.0,,,29.0,,,70.0,,88.0,52.0,,54.0,54.0,,63.0,,37.0,65.0,,56.0,69.0,,52.0,19.0,,23.0,,26.0,87.0,,24.0,,,,,,49.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001635735585054209
deaths wellington nz,57,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,68.0,,53.0,,57.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018025470555765224
turangi food,49,0,0.0,,,,,59.0,,46.0,,58.0,,44.0,,,47.0,,53.0,,55.0,58.0,,44.0,52.0,,54.0,55.0,,54.0,,,,63.0,,47.0,,45.0,55.0,,,,,55.0,47.0,,49.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016515224019236063
whanau manaaki,7,0,0.0,,55.0,,,18.0,,15.0,9.0,,,9.0,,,15.0,,10.0,13.0,,,,4.0,4.0,,16.0,14.0,,24.0,25.0,,38.0,37.0,,10.0,,19.0,18.0,,12.0,,7.0,,8.0,,7.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001578582462789224
post office new lynn,27,0,0.0,,,,,35.0,40.0,,25.0,,,,,,,,,,,,,,72.0,,,,,,,,20.0,18.0,,20.0,,24.0,26.0,,21.0,,25.0,,23.0,,27.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017767301193288118
resource centre masterton,48,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,57.0,,50.0,,47.0,,,48.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016556249273395791
whanganui police station,47,0,0.0,,64.0,,,41.0,,43.0,,46.0,,,,,40.0,,,,,,,,,,,,,,,,,45.0,,39.0,,58.0,63.0,,,,,,,,47.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016899256893937828
kiwiharvest,53,0,0.0,,75.0,,,,,,,,,,,,,,,11.0,,15.0,,19.0,21.0,,30.0,36.0,,41.0,,14.0,47.0,,26.0,17.0,,19.0,15.0,,23.0,,,42.0,,41.0,,53.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0015669264941884174
breath test nz,55,0,0.0,,85.0,,,72.0,,63.0,,76.0,,,,80.0,,81.0,,70.0,47.0,,23.0,,,10.0,9.0,,9.0,8.0,,11.0,,12.0,,,,,,,,,57.0,,37.0,,55.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001710386603624687
corys hastings,51,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0015697372364489768
cultural report,79,0,0.0,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,14.0,,,,,,,,,,,,,49.0,,53.0,,79.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0015953434570584299
porirua hospital mental health,63,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017423997134248328
find a person new zealand,12,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,25.0,,,,,,,15.0,,16.0,,12.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016546978268044215
not socks chch,79,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,79.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001572369022158318
mainstream christchurch,94,0,0.0,,,,,,,,,,,,,,,,,,,,,91.0,,,,94.0,,,,,,,,,,,,,,,,,,,,94.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016225939438200305
auckland 0600,14,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,21.0,,18.0,11.0,,16.0,,18.0,,8.0,,56.0,,14.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016288965265688186
ways to make money online nz,57,0,0.0,,,,,78.0,,,,,84.0,,,,,66.0,,,,,,,,88.0,,,,,,,,99.0,73.0,,67.0,,,,,,,,,,,57.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017445000871497902
mcf taupo,52,0,0.0,,,,,54.0,,,,,49.0,,,,,62.0,,60.0,,,,,,,,,,,,,,43.0,,,,43.0,,,,,54.0,,,,52.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001551066611473372
harrisons hire wanganui,39,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0015590504773118896
cultural reports nz,68,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,31.0,,,,31.0,40.0,,,,,,,61.0,,,59.0,,68.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016529129326635162
clothing grant entitlement nz,57,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,84.0,,78.0,,57.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001615173579604382
paraparaumu to auckland,77,0,0.0,,65.0,,,55.0,,90.0,,,,,,73.0,,90.0,,93.0,85.0,,66.0,,,55.0,,74.0,75.0,,77.0,,74.0,,,65.0,63.0,,,,,,84.0,,,,,77.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016798907483423075
gang patches nz,68,0,0.0,,,,,,,,,33.0,,,,,,,,,,,,,,,45.0,62.0,,55.0,45.0,,53.0,,40.0,75.0,,,,,,,,,91.0,,68.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016505207675175657
nursing meca,98,0,0.0,,,,,,,,,,,,,,,,28.0,,23.0,,,,,72.0,67.0,,,,,,,,,,74.0,,,,,,,,,,,98.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016281212743891984
jp otahuhu,67,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016281547947696454
body cameras nz,16,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,14.0,,,,,14.0,,,,,24.0,,15.0,,16.0,,16.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001598533768886034
otago bus,78,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001696527381017159
manurewa community recycling centre,76,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,48.0,,55.0,51.0,,55.0,,,,,,,65.0,,37.0,,76.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017006600121904191
where is invercargill,74,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,92.0,,91.0,,85.0,,92.0,,,,,74.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017416683139165605
coroners nz,45,0,0.0,,,,,,,,37.0,,,30.0,,,34.0,,48.0,,41.0,55.0,,,,,56.0,,60.0,,,,,58.0,48.0,,68.0,84.0,,85.0,,82.0,,54.0,,42.0,,45.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017344776087993565
findsomeone hamilton,41,0,0.0,,,,,,,,,,,,,,,,,,20.0,19.0,,25.0,50.0,,,,,,,,,,,91.0,,28.0,,,,,,,,,,41.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016575177785721183
quetiapine nz,34,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016283306147943032
aranui road,58,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016129833275034288
resilience clinical psychology,84,0,0.0,,,,,,,,,,,,,,,,,,,,,40.0,57.0,,56.0,40.0,,,,,,,,,,,,61.0,,84.0,,,,,,84.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016152671379415803
scanner frequencies nz,83,0,0.0,,,,,,,,,,,,,,,,,,73.0,71.0,,68.0,,,,,,,,,,,,,,,,,,,,,,,83.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016691616685533487
