Keyword,EndRank,EndClicks,SearchVolume,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,description,TF-IDF_score
new zealand bill of rights act 1990,66,0,140.0,,52.0,,,48.0,,44.0,,45.0,,44.0,,,58.0,,62.0,,54.0,63.0,,61.0,,56.0,61.0,,,,,44.0,,55.0,,,,90.0,,72.0,,86.0,,64.0,,75.0,,66.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016971944730520398
nz bill of rights act 1990,64,0,100.0,,,,,,,,46.0,,43.0,,,56.0,,,,78.0,65.0,,63.0,,,,,,,,,,,52.0,,,,87.0,,84.0,,90.0,,53.0,,66.0,,64.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017238038610520017
nz bill of rights act,71,0,0.0,,,,,,,,39.0,,,39.0,,,47.0,,44.0,,42.0,44.0,,42.0,37.0,,38.0,41.0,,41.0,,35.0,58.0,,46.0,48.0,,82.0,,,,87.0,,66.0,,66.0,,71.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001747127108251043
criminal justice act,75,0,0.0,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017385131682369848
criminal disclosure act,76,0,0.0,,,,,,,,,,,28.0,,,,,,,,42.0,,,,,,,,,,,,,,,,59.0,71.0,,,,,,87.0,,76.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016404773380747678
criminal disclosure act 2008,44,0,0.0,,40.0,,,45.0,,,42.0,,36.0,,31.0,,,30.0,,25.0,24.0,,23.0,38.0,,32.0,,39.0,35.0,,42.0,50.0,,47.0,41.0,,49.0,57.0,,60.0,,35.0,,55.0,,45.0,,44.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.00161720701862111
disclosure act,76,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016330441283967554
human rights act new zealand,24,0,0.0,,,20.0,,,20.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,28.0,,32.0,65.0,,60.0,,68.0,,42.0,,36.0,,,,24.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017226333888490986
new zealand human rights act,28,0,0.0,,,11.0,,20.0,,,22.0,,22.0,,,,,,,,,,,,,,,,,,,,,31.0,37.0,,77.0,66.0,,77.0,,,,,,,,28.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017226333888490986
official information act new zealand,33,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,37.0,,36.0,,,46.0,,,37.0,,12.0,,33.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016932411091318518
official information act request,19,0,0.0,,,,,14.0,,14.0,,15.0,,16.0,,,27.0,,23.0,,18.0,20.0,,18.0,23.0,,20.0,25.0,,19.0,,20.0,23.0,,25.0,22.0,,29.0,27.0,,21.0,,,26.0,,24.0,,19.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001654948822356074
official information act,11,0,0.0,,,,,8.0,10.0,,10.0,,,9.0,,37.0,,16.0,,36.0,,33.0,7.0,,5.0,9.0,,11.0,,10.0,42.0,,18.0,13.0,,20.0,39.0,,27.0,,13.0,,9.0,,26.0,,14.0,,11.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016730670903085444
official information act 1982,11,0,0.0,,,,,,,,8.0,,,9.0,,,21.0,,19.0,,16.0,19.0,,24.0,18.0,,15.0,13.0,,24.0,,15.0,26.0,,36.0,37.0,,,14.0,,10.0,,12.0,,11.0,,11.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016346744418024794
