title,h1_tags,word_count,keywords,description,DC.Description,snapshot_url,Timestamp
Work and Income - Work and Income,['Home'],534,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160613092731/http://www.workandincome.govt.nz:80/,13/06/2016 9:27
Work and Income - Work and Income,['Home'],553,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160618165926/http://www.workandincome.govt.nz:80/,18/06/2016 16:59
Work and Income - Work and Income,['Home'],534,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160623054634/http://www.workandincome.govt.nz:80/,23/06/2016 5:46
Work and Income - Work and Income,['Home'],557,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160702161924/http://www.workandincome.govt.nz:80/,2/07/2016 16:19
Error,Error,0,Error,Error,Error,https://web.archive.org/web/20160707185751/http://www.workandincome.govt.nz:80/,7/07/2016 18:57
Work and Income - Work and Income,['Home'],526,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160712054301/http://www.workandincome.govt.nz/,12/07/2016 5:43
Work and Income - Work and Income,['Home'],526,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160718172209/http://www.workandincome.govt.nz:80/,18/07/2016 17:22
Work and Income - Work and Income,['Home'],526,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160723072928/http://www.workandincome.govt.nz:80/,23/07/2016 7:29
Work and Income - Work and Income,['Home'],526,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160801145554/http://www.workandincome.govt.nz:80/,1/08/2016 14:55
Work and Income - Work and Income,['Home'],526,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160809080555/http://www.workandincome.govt.nz:80/,9/08/2016 8:05
Work and Income - Work and Income,['Home'],499,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160810155716/http://www.workandincome.govt.nz:80/,10/08/2016 15:57
Work and Income - Work and Income,['Home'],498,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160817164523/http://www.workandincome.govt.nz:80/,17/08/2016 16:45
Work and Income - Work and Income,['Home'],528,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160827024337/http://www.workandincome.govt.nz:80/,27/08/2016 2:43
Work and Income - Work and Income,['Home'],507,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160828153245/http://www.workandincome.govt.nz:80/,28/08/2016 15:32
Work and Income - Work and Income,['Home'],515,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160916084852/http://www.workandincome.govt.nz:80/,16/09/2016 8:48
Work and Income - Work and Income,['Home'],515,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160922212748/http://www.workandincome.govt.nz:80/,22/09/2016 21:27
Work and Income - Work and Income,['Home'],531,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20161001015323/http://www.workandincome.govt.nz:80/,1/10/2016 1:53
Work and Income - Work and Income,['Home'],515,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20161002112649/http://workandincome.govt.nz/,2/10/2016 11:26
Work and Income - Work and Income,['Home'],515,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20161003145658/http://www.workandincome.govt.nz:80/,3/10/2016 14:56
Work and Income - Work and Income,['Home'],536,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20161009041637/http://www.workandincome.govt.nz:80/,9/10/2016 4:16
Work and Income - Work and Income,['Home'],515,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20161011200202/http://www.workandincome.govt.nz/,11/10/2016 20:02
Work and Income - Work and Income,['Home'],538,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20161015201949/http://www.workandincome.govt.nz:80/,15/10/2016 20:19
